term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
betax,0.9974311918108377,1.6285421008521513e-4,0.03054815420477094,0.9376294191440598,0.9768226394830373,0.9975288666332061,1.0179478187325932,1.0568325014541744,35186.16765630277,0.9999579842139253,20191134,40000,1,med-pos-noerror,linear
sigma,1.1435846693499405,2.9684447982437776e-4,0.05756217847049654,1.037246021881185,1.1042032188801718,1.141055312458727,1.180685504538714,1.263015363360638,37602.48001573222,1.0000623386158327,20191134,40000,1,med-pos-noerror,linear
beta0,-0.9749852882558501,3.969271690490996e-4,0.075866982145163,-1.1225751199785583,-1.0263502273755587,-0.9752104179335539,-0.9238685251275662,-0.8264373267144641,36532.884552658346,1.0000269157316386,20191135,40000,-1,med-pos-noerror,linear
betax,1.0139132685664325,1.3891239887486905e-4,0.02588308444227568,0.9620462579681226,0.9966713593070248,1.0140925708750435,1.0312581355589479,1.0651012289571544,34717.627250996855,0.9999659126299515,20191135,40000,1,med-pos-noerror,linear
sigma,1.0778365421669036,2.879989012912419e-4,0.05486826051779726,0.9764461157682277,1.0403447575453888,1.0756119835519633,1.1132328734552854,1.1907674275470317,36296.1634652146,0.9999669305163684,20191135,40000,1,med-pos-noerror,linear
beta0,-0.8492001322589292,3.830095363638301e-4,0.07585900950472908,-0.9976497754587741,-0.9004174100847055,-0.8492759633586702,-0.7985739981683765,-0.7008158063321017,39227.909149935025,0.9999817709675045,20191136,40000,-1,med-pos-noerror,linear
betax,0.9476784317295945,1.2639857552015015e-4,0.025818686822685122,0.897271458373901,0.9301320809170925,0.9474968909179142,0.9652231648505776,0.998521369131792,41723.808175113365,0.9999560262758209,20191136,40000,1,med-pos-noerror,linear
sigma,1.0674431107197424,2.659497616441247e-4,0.054443085433533836,0.9673868956965995,1.0297386952472114,1.065104611545422,1.1027948515113812,1.1809958760071986,41906.968810441096,1.0000296992971036,20191136,40000,1,med-pos-noerror,linear
beta0,-0.9643036256364865,3.685690425061075e-4,0.06961219698610531,-1.1005881954811976,-1.0112723829530743,-0.9640876281322954,-0.9175465152754965,-0.827577136671796,35672.45281253253,1.0000114855881217,20191137,40000,-1,med-pos-noerror,linear
betax,1.060806611991941,1.339469367158536e-4,0.025744720135983917,1.0101883629921828,1.0436718229455066,1.0609471915299131,1.0779639871085307,1.1114959535588476,36941.18121688733,0.999957432211359,20191137,40000,1,med-pos-noerror,linear
sigma,0.9758425893340017,2.7044322430046317e-4,0.04952239219841526,0.8851141863906079,0.941385078882502,0.9737696243779577,1.0081076720234838,1.0780233150326102,33531.34857744266,0.9999642585373586,20191137,40000,1,med-pos-noerror,linear
beta0,-0.9254714737774256,3.611947134756607e-4,0.0717048340836912,-1.0658205035396635,-0.9736044874055731,-0.9250392784658187,-0.8770393317806042,-0.7851655356425361,39410.69557371435,1.0000038414833679,20191138,40000,-1,med-pos-noerror,linear
betax,1.001113166986378,1.1987065916873736e-4,0.024088559997051,0.9533695082670952,0.9850812737880865,1.001051804132051,1.0172798587963998,1.0483697852845462,40382.750027513255,1.0000078814423232,20191138,40000,1,med-pos-noerror,linear
sigma,1.018215039907206,2.598681047191028e-4,0.05182090868792971,0.9233146610509879,0.9822195630045153,1.0161404468267936,1.0515712974549782,1.126624661885373,39765.284159762356,0.9999677473211965,20191138,40000,1,med-pos-noerror,linear
beta0,-0.8595403011812836,3.424005336915104e-4,0.07103514154467012,-0.999739116023872,-0.9076834098645362,-0.859470371588295,-0.8117296199026611,-0.7212566247089672,43040.5323690245,0.9999942787264934,20191139,40000,-1,med-pos-noerror,linear
betax,0.9821280911118709,1.1827465557967246e-4,0.024053533663525407,0.9346905706433026,0.9661566346843178,0.982181797899323,0.9983492660039405,1.0291215086764025,41359.41521863321,1.0000132114216425,20191139,40000,1,med-pos-noerror,linear
sigma,1.0060076259868942,2.586109676203613e-4,0.05134525296814535,0.912356300987407,0.970486069750388,1.003886854595935,1.0390249891740628,1.1127726320798628,39419.10116602353,1.0000051974701492,20191139,40000,1,med-pos-noerror,linear
beta0,-0.8716445538115156,3.667782992542416e-4,0.0720704382495869,-1.0134390488069793,-0.9201805919001221,-0.8718592376974221,-0.8232834554174437,-0.7305560488349984,38610.64539973268,0.9999517365666597,20191140,40000,-1,med-pos-noerror,linear
betax,1.038287987692157,1.2430267023301507e-4,0.02557960701198182,0.988465719900826,1.0210783387576647,1.0383571180977207,1.0554579846909582,1.0882123638400798,42347.406686328264,0.9999677121681523,20191140,40000,1,med-pos-noerror,linear
sigma,1.018689140741801,2.595256334145249e-4,0.05161782386742791,0.9236794038925542,0.9826511255641753,1.0167319776723724,1.0524220187888065,1.1241412595434193,39558.413280117056,0.9999783471595146,20191140,40000,1,med-pos-noerror,linear
beta0,-0.9822861861065831,3.413586203673532e-4,0.07233929298324741,-1.1229549527413671,-1.030950015188634,-0.9827303512082752,-0.9341756517500702,-0.8386958319082455,44908.31605012773,0.9999841881404348,20191141,40000,-1,med-pos-noerror,linear
betax,0.9872206044739315,1.2898414450450765e-4,0.02699245204026546,0.9343078673369216,0.9689509052097782,0.9872744312642823,1.005510304441135,1.0395195115754352,43793.73859527973,0.9999508907393075,20191141,40000,1,med-pos-noerror,linear
sigma,1.018438002278348,2.4488262770381956e-4,0.0513085828310036,0.9236481717441507,0.9828785433226592,1.0164140514384465,1.0516752347653502,1.1250678857340757,43899.956023037805,1.0000236540355485,20191141,40000,1,med-pos-noerror,linear
beta0,-1.04799029732864,3.4535565452733624e-4,0.06722140985265056,-1.1782605079404445,-1.0928197145311334,-1.047922498308416,-1.0028460166745092,-0.9161473114200022,37886.29105640251,0.9999679641310607,20191142,40000,-1,med-pos-noerror,linear
betax,0.9951597190181998,1.2683138703804158e-4,0.02386284932557658,0.9481498463903636,0.9792173507345074,0.9952773301460436,1.0113472615729189,1.0415599156892692,35399.00982276308,0.999958314208244,20191142,40000,1,med-pos-noerror,linear
sigma,0.9463086990133075,2.601684265623137e-4,0.04807134110882019,0.857765155442238,0.9130331766659565,0.9445991380495127,0.9777812087676616,1.045287864833394,34139.98263283961,0.9999950163147319,20191142,40000,1,med-pos-noerror,linear
beta0,-0.943933710050399,3.8209289320168476e-4,0.07318403348340542,-1.0871896290915444,-0.9930037374430873,-0.9438337910791881,-0.8950622364516696,-0.798556930401312,36685.52707971981,1.0000059549729103,20191143,40000,-1,med-pos-noerror,linear
betax,0.9894765061092298,1.269149414938058e-4,0.024547484803485686,0.941434880414649,0.9728409773316313,0.9895458000450338,1.006003883196369,1.0375532861311882,37410.06750635041,0.9999936096283537,20191143,40000,1,med-pos-noerror,linear
sigma,1.0414476822775747,2.7408583270765286e-4,0.05215339303944626,0.9458553131013759,1.005289459198281,1.039215921508395,1.074972158117683,1.1494804357658917,36206.95158083837,1.0000360773330566,20191143,40000,1,med-pos-noerror,linear
beta0,-1.049645365565426,3.724884055164078e-4,0.07084473652686209,-1.1896858935338885,-1.0974556920551728,-1.0493365965940282,-1.0013580678220335,-0.912180995644791,36173.4275089978,0.9999851761629861,20191144,40000,-1,med-pos-noerror,linear
betax,1.022638010716486,1.2668862268498904e-4,0.024281885885343236,0.9749967802288221,1.0063310082272472,1.022635831425796,1.0388164439634926,1.070025457584194,36735.808141431706,1.0000325023630674,20191144,40000,1,med-pos-noerror,linear
sigma,0.9933149663780112,2.6889500785394705e-4,0.0504914580218174,0.9000247712916366,0.9582990713282985,0.9912855281986848,1.0260361839680023,1.0976949836043823,35259.02873156847,1.000002861521683,20191144,40000,1,med-pos-noerror,linear
beta0,-1.0081882908408355,3.5195973604027755e-4,0.0688492086290817,-1.1416554847152625,-1.0549314773123308,-1.0082404473889672,-0.9617818718597935,-0.8732365336883656,38265.90057978078,1.0000414373685425,20191145,40000,-1,med-pos-noerror,linear
betax,1.0025156417233576,1.1881507903584388e-4,0.023037765823942492,0.9572130634148172,0.9870117622316688,1.0024391091585159,1.0178812925987173,1.047991114818241,37595.649870528105,1.0001227706968576,20191145,40000,1,med-pos-noerror,linear
sigma,0.9723119384823321,2.5475971042587326e-4,0.04945467534241603,0.8819701979489756,0.93773260770992,0.9698291951949669,1.0044346205483916,1.0750307944795459,37683.672189305646,0.9999569692602533,20191145,40000,1,med-pos-noerror,linear
beta0,-0.8878078363911244,3.733436714852256e-4,0.07283181977347146,-1.031331128206663,-0.9364496781698666,-0.8879093717207396,-0.8393484875992163,-0.7445358655850571,38056.13987276385,0.999995859883208,20191146,40000,-1,med-pos-noerror,linear
betax,0.9996046764706412,1.326990237319316e-4,0.026403952860449272,0.9480045938967518,0.9819818011019036,0.9996102724915763,1.017417317827995,1.0513516679034391,39591.5442842613,1.000104447209893,20191146,40000,1,med-pos-noerror,linear
sigma,1.0369122294733204,2.7484166155280164e-4,0.052220053322846856,0.940259030136242,1.000619859175208,1.0348882229875573,1.0711176720131312,1.1456984751430226,36100.19028642946,0.9999897936936993,20191146,40000,1,med-pos-noerror,linear
