term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
sigma,1.1669517907461864,4.0133801883068945e-4,0.07266224163305539,1.0319443040851208,1.116909864874448,1.1642593260139538,1.2142417528460927,1.3160306492440248,32779.09647648212,1.0000062354096952,20191141,40000,1,med-pos-xyerror,linear-xme
beta0,-1.114654510438601,2.9610793704840777e-4,0.08136685031537752,-1.2745186369381796,-1.1690927207081447,-1.114383144507372,-1.0603525158513567,-0.9559312284994184,75508.33824214166,1.0000293505165152,20191142,40000,-1,med-pos-xyerror,linear-xme
betax,1.2043747066598267,7.964806776754529e-5,0.02090602296087162,1.1635781809406591,1.1900841536428364,1.204355166200406,1.2184713993097964,1.2451318551005681,68895.73809623686,0.9999753126978914,20191142,40000,1,med-pos-xyerror,linear-xme
sigma,1.01462636555476,3.059090140538871e-4,0.06669682383534521,0.8902534716713861,0.9687032741518375,1.0122920790041836,1.057654530599218,1.1520878803312369,47536.34180534148,1.0000081831239838,20191142,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9563574011817755,3.110088672301935e-4,0.0864975435942647,-1.124950829034905,-1.0150779174891351,-0.9565422658069382,-0.898212796347154,-0.7864200532836293,77350.30058191194,0.9999573503856576,20191143,40000,-1,med-pos-xyerror,linear-xme
betax,1.2501693991194394,7.654468177432896e-5,0.020357899741639412,1.2102497709375342,1.2365547584599874,1.2502102260421297,1.2638694438324476,1.2900607295136124,70735.25096549217,0.9999515927891424,20191143,40000,1,med-pos-xyerror,linear-xme
sigma,1.0752625421998563,3.1960879291829253e-4,0.0694644297118102,0.9467127229961768,1.0271521973503845,1.0731238008039425,1.1203148596159191,1.2175766057374031,47237.56596503058,0.9999774238801745,20191143,40000,1,med-pos-xyerror,linear-xme
beta0,-1.0529680184943064,4.1444593516680244e-4,0.09463005433416888,-1.238660006105468,-1.116411074934588,-1.053086443809697,-0.9889419676823358,-0.8656793582399458,52134.16353741712,1.000024005412759,20191144,40000,-1,med-pos-xyerror,linear-xme
betax,1.251236565699675,1.0833381024827973e-4,0.024321010600863408,1.2036220305720842,1.2348523804944724,1.2511095324884682,1.267695426273575,1.2990257663002749,50400.54095165551,0.9999538586891568,20191144,40000,1,med-pos-xyerror,linear-xme
sigma,1.2005458239598237,3.595112720377406e-4,0.07418864941485534,1.0634111164143136,1.1490446317652625,1.1973524321583473,1.2494013009208818,1.3541882039171207,42584.33860787231,0.9999796096304129,20191144,40000,1,med-pos-xyerror,linear-xme
beta0,-0.6913773564047901,3.5821864634348854e-4,0.08102779293848027,-0.8522537882104526,-0.745527575764352,-0.6908185296490832,-0.6364259363922458,-0.5338470960296204,51164.84259516973,0.9999742272944775,20191145,40000,-1,med-pos-xyerror,linear-xme
betax,1.2360651459989183,8.569786024031972e-5,0.01904894982813433,1.1985187982859786,1.2232301285403984,1.2361665786677778,1.24896275939898,1.2731777896938083,49408.55119311539,0.9999523497460864,20191145,40000,1,med-pos-xyerror,linear-xme
